id	cardNumber	cardName	categoryId	categoryName	level	imageFile	position	sortOrder	isCenter	question	issue	point	hints	why	what	how	diagramCore	diagramStructure	diagramText
00	00	授業相談カード大全	0	授業相談カード大全	top	00.jpg	center	5	TRUE			8カテゴリから、授業相談の入口を選ぶ。					授業相談カード大全の入口	中央から8カテゴリへ広がるトップマンダラート	授業相談カード大全
top-1	1セル	子どもの出発点をつかみたい	1	子どもの出発点をつかみたい	topCategory	10.jpg	topCenter	2	FALSE			トップ画面ではカテゴリ入口として表示する。					子どもの出発点をつかむ8つの視点	トップ画面ではカテゴリ入口画像として使い、第2階層ではカテゴリ中央セル画像として兼用する。	子どもの出発点をつかむ8つの視点
top-2	2セル	教材・単元の芯をつかみたい	2	教材・単元の芯をつかみたい	topCategory	20.jpg	topRight	3	FALSE			トップ画面ではカテゴリ入口として表示する。					教材・単元の芯をつかむ8つの視点	トップ画面ではカテゴリ入口画像として使い、第2階層ではカテゴリ中央セル画像として兼用する。	教材・単元の芯をつかむ8つの視点
top-3	3セル	教科で課題解決的な学習を組み立てたい	3	教科で課題解決的な学習を組み立てたい	topCategory	30.jpg	middleRight	6	FALSE			トップ画面ではカテゴリ入口として表示する。					教科で課題解決的な学習を組み立てる8つの視点	トップ画面ではカテゴリ入口画像として使い、第2階層ではカテゴリ中央セル画像として兼用する。	教科で課題解決的な学習を組み立てる8つの視点
top-4	4セル	書く・話す活動を、学びにつなげたい	4	書く・話す活動を、学びにつなげたい	topCategory	40.jpg	bottomRight	9	FALSE			トップ画面ではカテゴリ入口として表示する。					書く・話す活動を、学びにつなげる8つの視点	トップ画面ではカテゴリ入口画像として使い、第2階層ではカテゴリ中央セル画像として兼用する。	書く・話す活動を、学びにつなげる8つの視点
top-5	5セル	情報活用能力を、子どもの学びとして育てたい	5	情報活用能力を、子どもの学びとして育てたい	topCategory	50.jpg	bottomCenter	8	FALSE			トップ画面ではカテゴリ入口として表示する。					情報活用能力を、子どもの学びとして育てる8つの視点	トップ画面ではカテゴリ入口画像として使い、第2階層ではカテゴリ中央セル画像として兼用する。	情報活用能力を、子どもの学びとして育てる8つの視点
top-6	6セル	見取り・振り返りを、次の授業と支援につなげたい	6	見取り・振り返りを、次の授業と支援につなげたい	topCategory	60.jpg	bottomLeft	7	FALSE			トップ画面ではカテゴリ入口として表示する。					見取り・振り返りを次につなぐ8つの視点	トップ画面ではカテゴリ入口画像として使い、第2階層ではカテゴリ中央セル画像として兼用する。	見取り・振り返りを次につなぐ8つの視点
top-7	7セル	総合的な学習・生活科で、子どもの問いや願いを育てたい	7	総合的な学習・生活科で、子どもの問いや願いを育てたい	topCategory	70.jpg	middleLeft	4	FALSE			トップ画面ではカテゴリ入口として表示する。					子どもの問いや願いを育てる8つの視点	トップ画面ではカテゴリ入口画像として使い、第2階層ではカテゴリ中央セル画像として兼用する。	子どもの問いや願いを育てる8つの視点
top-8	8セル	特別支援学級で、その子の「できた」を設計したい	8	特別支援学級で、その子の「できた」を設計したい	topCategory	80.jpg	topLeft	1	FALSE			トップ画面ではカテゴリ入口として表示する。					その子の「できた」を設計する8つの視点	トップ画面ではカテゴリ入口画像として使い、第2階層ではカテゴリ中央セル画像として兼用する。	その子の「できた」を設計する8つの視点
10	1中心セル	子どもの出発点をつかむ8つの視点	1	子どもの出発点をつかみたい	category	10.jpg	center	5	TRUE			この8つの視点で、子どもの出発点をつかむ。					子どもの出発点をつかむ8つの視点	配置：1-8／1-1／1-2、1-7／1中心／1-3、1-6／1-5／1-4	何を知っているか／初めて何と出会うか／何とつなげて考えるか／どんな言葉で考えるか／どこで考えが止まるか／何に心が動くか／何に不安を感じるか／どんな思い込みをもつか
11	1-1セル	何を知っているか	1	子どもの出発点をつかみたい	card	11.jpg	topCenter	2	FALSE	この学習に入る前に、子どもは何を知っているか	子どもがすでにもっている言葉・知識・イメージ・経験を、授業の入口としてどう生かすか	正しい／間違いで早く分けず、「どんな知り方をしているか」を見る。	聞いたことはある／なんとなく知っている／生活の中で見たことがある／前の学習と似ていると思っている／言葉だけ知っていて、意味はあいまい／自分なりの思い込みをもっている	なぜ、子どもはそう知っているのか。	子どもは、何をどの程度知っているのか。	その知っていることを、授業の入口でどう生かせそうか。	子どもがすでにもっているものを、授業の入口につなげる図解にする。	中心に「授業の入口」／周囲に「言葉」「知識」「イメージ」「経験」／4つが「授業の入口」へつながる図にする。	子どもがもつ「すでにあるもの」／言葉／知識／イメージ／経験／授業の入口／ここから、学びがつながり、広がっていく。
12	1-2セル	初めて何と出会うか	1	子どもの出発点をつかみたい	card	12.jpg	topRight	3	FALSE	この学習で、子どもは初めて何と出会うのか	子どもが初めて出会う言葉・事実・見方は何か	初めて出会うものを、教師が先に説明しすぎない。子どもが何に気づき、何を不思議に思うかを見る。	初めて聞く言葉／初めて見る事実／名前は知らないが、見たことのあるもの／知っている言葉と結びついていない意味／前の学習とは違う見方／まだ気づいていない面白さ	なぜ、それは子どもにとって初めての出会いになるのか。	子どもは、何を初めて見るのか。	その出会いのあと、子どもは何に気づきそうか。	「初めて出会うもの」から、子どもの気づきや疑問が生まれる流れを図解する。	左に「初めて出会うもの」／中央に「気づき」／右に「疑問」／下に「学びの入口」／出会いから、気づきと疑問が生まれる流れにする。	初めて出会うもの／気づき／疑問／学びの入口／初めて見る。だから、気づく。疑問が生まれる。
13	1-3セル	何とつなげて考えるか	1	子どもの出発点をつかみたい	card	13.jpg	middleRight	6	FALSE	この学習を、子どもは何とつなげて考えるか	子どもがこの学習とつなげる経験・前の学び・身近な出来事は何か	子どもがつなげるものは、正確とは限らない。まず、何を手がかりに考えるかを見る。	生活の中で見たこと／家族や友達との経験／前の単元で学んだこと／別の教科で扱ったこと／本、動画、ニュースで知ったこと／一部の経験から決めつけていること	なぜ、子どもはそれとつなげて考えるのか。	子どもは、何を手がかりにして考えるか。	その手がかりから、子どもはどんな考えを出すか。	子どもが、経験や前の学びを手がかりにして、この学習を考える様子を図解する。	中心に「この学習」／周囲に「生活経験」「前の学び」「身近な出来事」「見聞きしたこと」／周囲の手がかりから中心へ線をつなぐ／下に「考える手がかり」を置く。	この学習／生活経験／前の学び／身近な出来事／見聞きしたこと／考える手がかり／子どもは、知っていることとつなげて考える。
14	1-4セル	どんな言葉で考えるか	1	子どもの出発点をつかみたい	card	14.jpg	bottomRight	9	FALSE	この学習を、子どもはどんな言葉で考えるか	子どもが使う言葉に、どんな見方・迷い・分かり方が表れているか	言葉の正しさだけを見ない。子どもがその言葉で何を表そうとしているかを見る。	よく使っている言葉／意味があいまいなまま使っている言葉／自分なりに言いかえている言葉／似た言葉と混ざっている言葉／言いたいことに対して足りない言葉／友達から借りて使っている言葉	なぜ、子どもはその言葉で考えるのか。	その言葉には、子どものどんな見方が表れているか。	その言葉から、子どもの考えをどうたどるか。	子どもの言葉から、見方・迷い・分かり方が見えてくる様子を図解する。	中心に「子どもの言葉」／周囲に「見方」「迷い」「分かり方」「言いかえ」／中心から周囲へ線をつなぐ／下に「考えをたどる手がかり」を置く。	子どもの言葉／見方／迷い／分かり方／言いかえ／考えをたどる手がかり／言葉を見ると、考えの動きが見えてくる。
15	1-5セル	どこで考えが止まるか	1	子どもの出発点をつかみたい	card	15.jpg	bottomCenter	8	FALSE	この学習で、子どもの考えはどこで止まるか	子どもの考えを止めているものは、問いの分かりにくさか、活動の見通しのなさか、考える観点の不足か、表現のしにくさか	考えが止まる子を、分かっていない子と決めつけない。何が考えを止めているのかを見る。	問いの意味が分からない／何をすればよいか分からない／何と何を比べるか分からない／考えはあるが、書き出せない／友達の考えとつなげられない／分かったつもりで、次に進めない	なぜ、子どもの考えはそこで止まるのか。	何が、子どもの考えを止めているのか。	子どもが考え直すには、何が手がかりになるか。	子どもの考えが止まる場面を、原因ごとに分けて見る図解にする。	中心に「考えが止まる」／周囲に「問い」「活動」「観点」「表現」／下に「考え直す手がかり」／どの要素が考えを止めているのかを見分ける図にする。	考えが止まる／問い／活動／観点／表現／考え直す手がかり／考えが止まる場所には、考え直す手がかりがある。
16	1-6セル	何に心が動くか	1	子どもの出発点をつかみたい	card	16.jpg	bottomLeft	7	FALSE	この学習で、子どもの心は何に動くか	子どもの心を動かすものは、驚きか、自分とのつながりか、比べたくなる違いか、試したくなる面白さか	楽しそうに見えるものを、すぐ活動にしない。子どもの心が何に動いているのかを見る。	思わず驚くこと／自分と関係があると感じること／友達と比べたくなること／試してみたくなること／もっと知りたくなること／予想と違って気になること	なぜ、子どもの心はそこに動くのか。	何が、子どもの心を動かしているのか。	心が動いたあと、子どもは何を見ようとするか。	子どもの心が動くきっかけから、問いや学びに向かう流れを図解する。	中心に「心が動く」／周囲に「驚き」「自分とのつながり」「違い」「試したさ」／右に「問い」／下に「学びの入口」／心が動くところから、問いが生まれる流れにする。	心が動く／驚き／自分とのつながり／違い／試したさ／問い／学びの入口／心が動くところから、問いが生まれる。
